InputWord,WordKey,Tone,POS,ZhTranslation,ZhHint,Kana,Romaji,Wapuro,BookName,BookSeries,BookChapter,BookExtra,BookWordId,,,,,,,,,,,,,,,,30,CommonWord,ManualTags,AutoTags,RubyByExcel,RubyByConcat,ALERT,,,,,,,,,,,,,,,,,,,,,,,,60,AlterWord,ManualTags,AutoTags,RubyByExcel,RubyByConcat,ALERT,,,,,,,,,,,,,,,,,,,,,,,,120,UncommonWord,ManualTags,AutoTags,RubyByExcel,RubyByConcat,ALERT,,,,,
タイ,,,PROPER,泰国,,,,,,1,1,EXT,11,,,,,,,,,,,,,,,,,タイ,,,たい,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ドイツ,,,PROPER,德国,,,,,,1,1,EXT,12,,,,,,,,,,,,,,,,,ドイツ,,,どいつ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ブラジル,,,PROPER,巴西,,,,,,1,1,EXT,13,,,,,,,,,,,,,,,,,ブラジル,,,ぶらじる,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
フランス,,,PROPER,法国,duplicate,,,,,1,1,EXT,14,,,,,,,,,,,,,,,,,フランス,,,ふらんす,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ベトナム,,,PROPER,越南,,,,,,1,1,EXT,15,,,,,,,,,,,,,,,,,ベトナム,,,べとなむ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
メキシコ,,,PROPER,墨西哥,,,,,,1,1,EXT,16,,,,,,,,,,,,,,,,,メキシコ,,,めきしこ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ロシア,,,PROPER,俄罗斯,,,,,,1,1,EXT,17,,,,,,,,,,,,,,,,,ロシア,,,ろしあ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
外国,,,NOUN,外国,,,,,,1,1,EXT,18,,,,,,,,,,,,,,,,,外国,manual,,がいこく,がいこく,,がいこく,外,がい,国,こく,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
人,人,,NOUN,~人,,,jin,,,1,1,EXT,19,,,,,,,,,,,,,,,,,人,special,,ひと,じん,special,じん,人,じん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国人,,,NOUN,中国人,duplicate,,,,,1,1,EXT,20,,,,,,,,,,,,,,,,,中国人,manual,,ちゅうごくじん,ちゅうごくじん,,ちゅうごくじん,中,ちゅう,国,ごく,人,じん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
