word,key,trans,hint,kana,romaji,wapuro,pos,tone,textbook
ドイツ,ドイツ,德国,,ドイツ,doitsu,doitsu,"PROPER",null,BIAORI-01-01-EXT-0012,WARNING,ドイツ,Deutsch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ブラジル,ブラジル,巴西,,ブラジル,burajiru,burajiru,"PROPER",null,BIAORI-01-01-EXT-0013,WARNING,ブラジル,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
フランス,フランス,法国,duplicate,フランス,furansu,furannsu,"PROPER",null,BIAORI-01-01-EXT-0014,WARNING,フランス,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ベトナム,ベトナム,越南,,ベトナム,betonamu,betonamu,"PROPER",null,BIAORI-01-01-EXT-0015,WARNING,ベトナム,Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
メキシコ,メキシコ,墨西哥,,メキシコ,mekishiko,mekishiko,"PROPER",null,BIAORI-01-01-EXT-0016,WARNING,メキシコ,Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ロシア,ロシア,俄罗斯,,ロシア,roshia,roshia,"PROPER",null,BIAORI-01-01-EXT-0017,WARNING,ロシア,Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
外国,外国,外国,duplicate,がいこく,gaikoku,gaikoku,"NOUN",null,BIAORI-01-01-EXT-0018,,外,がい,国,こく,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
人,人,~人,,じん,jin,jinn,"NOUN",null,BIAORI-01-01-EXT-0019,,人,じん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国人,中国人,中国人,duplicate,ちゅうごくじん,chūgokujin,chuugokujinn,"NOUN",null,BIAORI-01-01-EXT-0020,,中,ちゅう,国,ごく,人,じん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日本人,日本人,日本人,duplicate,にほんじん,nipponjin,nihonnjinn,"NOUN",null,BIAORI-01-01-EXT-0021,,日,に,本,ほん,人,じん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アメリカ人,アメリカ人,美国人,duplicate,アメリカじん,amerikajin,amerikajinn,"NOUN",null,BIAORI-01-01-EXT-0022,,アメリカ,America,人,じん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
イギリス人,イギリス人,英国人,,イギリスじん,igirisujin,igirisujinn,"PROPER",null,BIAORI-01-01-EXT-0023,,イギリス,Engish,人,じん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
イタリア人,イタリア人,意大利人,,イタリアじん,itariajin,itariajinn,"PROPER",null,BIAORI-01-01-EXT-0024,,イタリア,Italia,人,じん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
